name,rank,year,genre,duration,rating,url,runtime_min,decade
The Shawshank Redemption,1,1994,Drama,2h 22m,9.3,https://www.imdb.com/title/tt0111161/,142.0,1990
The Godfather,2,1972,Crime,2h 55m,9.2,https://www.imdb.com/title/tt0068646/,175.0,1970
The Godfather,2,1972,Drama,2h 55m,9.2,https://www.imdb.com/title/tt0068646/,175.0,1970
The Dark Knight,3,2008,Action,2h 32m,9.1,https://www.imdb.com/title/tt0468569/,152.0,2000
The Dark Knight,3,2008,Crime,2h 32m,9.1,https://www.imdb.com/title/tt0468569/,152.0,2000
The Dark Knight,3,2008,Drama,2h 32m,9.1,https://www.imdb.com/title/tt0468569/,152.0,2000
The Godfather Part II,4,1974,Crime,3h 22m,9.0,https://www.imdb.com/title/tt0071562/,202.0,1970
The Godfather Part II,4,1974,Drama,3h 22m,9.0,https://www.imdb.com/title/tt0071562/,202.0,1970
12 Angry Men,5,1957,Crime,1h 36m,9.0,https://www.imdb.com/title/tt0050083/,96.0,1950
12 Angry Men,5,1957,Drama,1h 36m,9.0,https://www.imdb.com/title/tt0050083/,96.0,1950
The Lord of the Rings: The Return of the King,6,2003,Adventure,3h 21m,9.0,https://www.imdb.com/title/tt0167260/,201.0,2000
The Lord of the Rings: The Return of the King,6,2003,Drama,3h 21m,9.0,https://www.imdb.com/title/tt0167260/,201.0,2000
The Lord of the Rings: The Return of the King,6,2003,Fantasy,3h 21m,9.0,https://www.imdb.com/title/tt0167260/,201.0,2000
Schindler&apos;s List,7,1993,Biography,3h 15m,9.0,https://www.imdb.com/title/tt0108052/,195.0,1990
Schindler&apos;s List,7,1993,Drama,3h 15m,9.0,https://www.imdb.com/title/tt0108052/,195.0,1990
Schindler&apos;s List,7,1993,History,3h 15m,9.0,https://www.imdb.com/title/tt0108052/,195.0,1990
The Lord of the Rings: The Fellowship of the Ring,8,2001,Adventure,2h 58m,8.9,https://www.imdb.com/title/tt0120737/,178.0,2000
The Lord of the Rings: The Fellowship of the Ring,8,2001,Drama,2h 58m,8.9,https://www.imdb.com/title/tt0120737/,178.0,2000
The Lord of the Rings: The Fellowship of the Ring,8,2001,Fantasy,2h 58m,8.9,https://www.imdb.com/title/tt0120737/,178.0,2000
Pulp Fiction,9,1994,Crime,2h 34m,8.8,https://www.imdb.com/title/tt0110912/,154.0,1990
Pulp Fiction,9,1994,Drama,2h 34m,8.8,https://www.imdb.com/title/tt0110912/,154.0,1990
"Il buono, il brutto, il cattivo",10,1966,Adventure,2h 58m,8.8,https://www.imdb.com/title/tt0060196/,178.0,1960
"Il buono, il brutto, il cattivo",10,1966,Drama,2h 58m,8.8,https://www.imdb.com/title/tt0060196/,178.0,1960
"Il buono, il brutto, il cattivo",10,1966,Western,2h 58m,8.8,https://www.imdb.com/title/tt0060196/,178.0,1960
The Lord of the Rings: The Two Towers,11,2002,Adventure,2h 59m,8.8,https://www.imdb.com/title/tt0167261/,179.0,2000
The Lord of the Rings: The Two Towers,11,2002,Drama,2h 59m,8.8,https://www.imdb.com/title/tt0167261/,179.0,2000
The Lord of the Rings: The Two Towers,11,2002,Fantasy,2h 59m,8.8,https://www.imdb.com/title/tt0167261/,179.0,2000
Forrest Gump,12,1994,Drama,2h 22m,8.8,https://www.imdb.com/title/tt0109830/,142.0,1990
Forrest Gump,12,1994,Romance,2h 22m,8.8,https://www.imdb.com/title/tt0109830/,142.0,1990
Fight Club,13,1999,Crime,2h 19m,8.8,https://www.imdb.com/title/tt0137523/,139.0,1990
