name,rank,year,genre,duration,rating,url,runtime_min,decade
The Shawshank Redemption,1,1994,Drama,2h 22m,9.3,https://www.imdb.com/title/tt0111161/,142.0,1990
The Godfather,2,1972,"Crime, Drama",2h 55m,9.2,https://www.imdb.com/title/tt0068646/,175.0,1970
The Dark Knight,3,2008,"Action, Crime, Drama",2h 32m,9.1,https://www.imdb.com/title/tt0468569/,152.0,2000
The Godfather Part II,4,1974,"Crime, Drama",3h 22m,9.0,https://www.imdb.com/title/tt0071562/,202.0,1970
12 Angry Men,5,1957,"Crime, Drama",1h 36m,9.0,https://www.imdb.com/title/tt0050083/,96.0,1950
The Lord of the Rings: The Return of the King,6,2003,"Adventure, Drama, Fantasy",3h 21m,9.0,https://www.imdb.com/title/tt0167260/,201.0,2000
Schindler&apos;s List,7,1993,"Biography, Drama, History",3h 15m,9.0,https://www.imdb.com/title/tt0108052/,195.0,1990
The Lord of the Rings: The Fellowship of the Ring,8,2001,"Adventure, Drama, Fantasy",2h 58m,8.9,https://www.imdb.com/title/tt0120737/,178.0,2000
Pulp Fiction,9,1994,"Crime, Drama",2h 34m,8.8,https://www.imdb.com/title/tt0110912/,154.0,1990
"Il buono, il brutto, il cattivo",10,1966,"Adventure, Drama, Western",2h 58m,8.8,https://www.imdb.com/title/tt0060196/,178.0,1960
The Lord of the Rings: The Two Towers,11,2002,"Adventure, Drama, Fantasy",2h 59m,8.8,https://www.imdb.com/title/tt0167261/,179.0,2000
Forrest Gump,12,1994,"Drama, Romance",2h 22m,8.8,https://www.imdb.com/title/tt0109830/,142.0,1990
Fight Club,13,1999,"Crime, Drama, Thriller",2h 19m,8.8,https://www.imdb.com/title/tt0137523/,139.0,1990
Inception,14,2010,"Action, Adventure, Sci-Fi",2h 28m,8.8,https://www.imdb.com/title/tt1375666/,148.0,2010
Star Wars: Episode V - The Empire Strikes Back,15,1980,"Action, Adventure, Fantasy",2h 4m,8.7,https://www.imdb.com/title/tt0080684/,124.0,1980
The Matrix,16,1999,"Action, Sci-Fi",2h 16m,8.7,https://www.imdb.com/title/tt0133093/,136.0,1990
GoodFellas,17,1990,"Biography, Crime, Drama",2h 25m,8.7,https://www.imdb.com/title/tt0099685/,145.0,1990
Interstellar,18,2014,"Adventure, Drama, Sci-Fi",2h 49m,8.7,https://www.imdb.com/title/tt0816692/,169.0,2010
One Flew Over the Cuckoo&apos;s Nest,19,1975,Drama,2h 13m,8.6,https://www.imdb.com/title/tt0073486/,133.0,1970
Se7en,20,1995,"Crime, Drama, Mystery",2h 7m,8.6,https://www.imdb.com/title/tt0114369/,127.0,1990
It&apos;s a Wonderful Life,21,1946,"Drama, Family, Fantasy",2h 10m,8.6,https://www.imdb.com/title/tt0038650/,130.0,1940
The Silence of the Lambs,22,1991,"Crime, Drama, Horror",1h 58m,8.6,https://www.imdb.com/title/tt0102926/,118.0,1990
Shichinin no samurai,23,1954,"Action, Drama",3h 27m,8.6,https://www.imdb.com/title/tt0047478/,207.0,1950
Saving Private Ryan,24,1998,"Drama, War",2h 49m,8.6,https://www.imdb.com/title/tt0120815/,169.0,1990
The Green Mile,25,1999,"Crime, Drama, Fantasy",3h 9m,8.6,https://www.imdb.com/title/tt0120689/,189.0,1990
Cidade de Deus,26,2002,"Crime, Drama",2h 10m,8.6,https://www.imdb.com/title/tt0317248/,130.0,2000
La vita è bella,27,1997,"Comedy, Drama, Romance",1h 56m,8.6,https://www.imdb.com/title/tt0118799/,116.0,1990
Terminator 2: Judgment Day,28,1991,"Action, Adventure, Sci-Fi",2h 17m,8.6,https://www.imdb.com/title/tt0103064/,137.0,1990
Star Wars,29,1977,"Action, Adventure, Fantasy",2h 1m,8.6,https://www.imdb.com/title/tt0076759/,121.0,1970
Back to the Future,30,1985,"Adventure, Comedy, Sci-Fi",1h 56m,8.5,https://www.imdb.com/title/tt0088763/,116.0,1980
Sen to Chihiro no kamikakushi,31,2001,"Animation, Adventure, Family",2h 4m,8.6,https://www.imdb.com/title/tt0245429/,124.0,2000
The Pianist,32,2002,"Biography, Drama, Music",2h 30m,8.5,https://www.imdb.com/title/tt0253474/,150.0,2000
Gladiator,33,2000,"Action, Adventure, Drama",2h 35m,8.5,https://www.imdb.com/title/tt0172495/,155.0,2000
Gisaengchung,34,2019,"Drama, Thriller",2h 12m,8.5,https://www.imdb.com/title/tt6751668/,132.0,2010
Psycho,35,1960,"Drama, Horror, Mystery",1h 49m,8.5,https://www.imdb.com/title/tt0054215/,109.0,1960
Hotaru no haka,36,1988,"Animation, Drama, War",1h 28m,8.5,https://www.imdb.com/title/tt0095327/,88.0,1980
The Lion King,37,1994,"Animation, Adventure, Drama",1h 28m,8.5,https://www.imdb.com/title/tt0110357/,88.0,1990
Seppuku,38,1962,"Drama, Mystery",2h 13m,8.6,https://www.imdb.com/title/tt0056058/,133.0,1960
The Departed,39,2006,"Crime, Drama, Thriller",2h 31m,8.5,https://www.imdb.com/title/tt0407887/,151.0,2000
Whiplash,40,2014,"Drama, Music",1h 46m,8.5,https://www.imdb.com/title/tt2582802/,106.0,2010
The Prestige,41,2006,"Drama, Mystery, Sci-Fi",2h 10m,8.5,https://www.imdb.com/title/tt0482571/,130.0,2000
American History X,42,1998,"Crime, Drama",1h 59m,8.5,https://www.imdb.com/title/tt0120586/,119.0,1990
Léon,43,1994,"Action, Crime, Drama",1h 50m,8.5,https://www.imdb.com/title/tt0110413/,110.0,1990
Spider-Man: Across the Spider-Verse,44,2023,"Animation, Action, Adventure",2h 20m,8.5,https://www.imdb.com/title/tt9362722/,140.0,2020
Nuovo Cinema Paradiso,45,1988,"Drama, Romance",2h 54m,8.5,https://www.imdb.com/title/tt0095765/,174.0,1980
Casablanca,46,1942,"Drama, Romance, War",1h 42m,8.5,https://www.imdb.com/title/tt0034583/,102.0,1940
Intouchables,47,2011,"Comedy, Drama",1h 52m,8.5,https://www.imdb.com/title/tt1675434/,112.0,2010
The Usual Suspects,48,1995,"Crime, Drama, Mystery",1h 46m,8.5,https://www.imdb.com/title/tt0114814/,106.0,1990
Alien,49,1979,"Horror, Sci-Fi",1h 57m,8.5,https://www.imdb.com/title/tt0078748/,117.0,1970
Modern Times,50,1936,"Comedy, Drama, Romance",1h 27m,8.5,https://www.imdb.com/title/tt0027977/,87.0,1930
Rear Window,51,1954,"Drama, Mystery, Thriller",1h 52m,8.5,https://www.imdb.com/title/tt0047396/,112.0,1950
Django Unchained,52,2012,"Drama, Western",2h 45m,8.5,https://www.imdb.com/title/tt1853728/,165.0,2010
C&apos;era una volta il West,53,1968,"Drama, Western",2h 46m,8.5,https://www.imdb.com/title/tt0064116/,166.0,1960
City Lights,54,1931,"Comedy, Drama, Romance",1h 27m,8.5,https://www.imdb.com/title/tt0021749/,87.0,1930
Apocalypse Now,55,1979,"Drama, Mystery, War",2h 27m,8.4,https://www.imdb.com/title/tt0078788/,147.0,1970
WALL·E,56,2008,"Animation, Adventure, Family",1h 38m,8.4,https://www.imdb.com/title/tt0910970/,98.0,2000
Memento,57,2000,"Drama, Mystery, Thriller",1h 53m,8.4,https://www.imdb.com/title/tt0209144/,113.0,2000
Dune: Part Two,58,2024,"Action, Adventure, Drama",2h 46m,8.4,https://www.imdb.com/title/tt15239678/,166.0,2020
Raiders of the Lost Ark,59,1981,"Action, Adventure",1h 55m,8.4,https://www.imdb.com/title/tt0082971/,115.0,1980
Avengers: Infinity War,60,2018,"Action, Adventure, Sci-Fi",2h 29m,8.4,https://www.imdb.com/title/tt4154756/,149.0,2010
Das Leben der Anderen,61,2006,"Drama, Mystery, Thriller",2h 17m,8.4,https://www.imdb.com/title/tt0405094/,137.0,2000
Spider-Man: Into the Spider-Verse,62,2018,"Animation, Action, Adventure",1h 57m,8.4,https://www.imdb.com/title/tt4633694/,117.0,2010
Sunset Blvd.,63,1950,"Drama, Film-Noir",1h 50m,8.4,https://www.imdb.com/title/tt0043014/,110.0,1950
Witness for the Prosecution,64,1957,"Crime, Drama, Mystery",1h 56m,8.4,https://www.imdb.com/title/tt0051201/,116.0,1950
Paths of Glory,65,1957,"Drama, War",1h 28m,8.4,https://www.imdb.com/title/tt0050825/,88.0,1950
The Shining,66,1980,"Drama, Horror",2h 26m,8.4,https://www.imdb.com/title/tt0081505/,146.0,1980
The Great Dictator,67,1940,"Comedy, Drama, War",2h 5m,8.4,https://www.imdb.com/title/tt0032553/,125.0,1940
Inglourious Basterds,68,2009,"Adventure, Drama, War",2h 33m,8.4,https://www.imdb.com/title/tt0361748/,153.0,2000
Aliens,69,1986,"Action, Adventure, Horror",2h 17m,8.4,https://www.imdb.com/title/tt0090605/,137.0,1980
12th Fail,70,2023,"Biography, Drama",2h 27m,8.7,https://www.imdb.com/title/tt23849204/,147.0,2020
Tengoku to jigoku,71,1963,"Crime, Drama, Mystery",2h 23m,8.4,https://www.imdb.com/title/tt0057565/,143.0,1960
The Dark Knight Rises,72,2012,"Action, Crime, Drama",2h 44m,8.4,https://www.imdb.com/title/tt1345836/,164.0,2010
Coco,73,2017,"Animation, Adventure, Drama",1h 45m,8.4,https://www.imdb.com/title/tt2380307/,105.0,2010
Avengers: Endgame,74,2019,"Action, Adventure, Sci-Fi",3h 1m,8.4,https://www.imdb.com/title/tt4154796/,181.0,2010
Amadeus,75,1984,"Biography, Drama, Music",2h 40m,8.4,https://www.imdb.com/title/tt0086879/,160.0,1980
Good Will Hunting,76,1997,"Drama, Romance",2h 6m,8.3,https://www.imdb.com/title/tt0119217/,126.0,1990
Toy Story,77,1995,"Animation, Adventure, Comedy",1h 21m,8.3,https://www.imdb.com/title/tt0114709/,81.0,1990
Kimi no Na wa.,78,2016,"Animation, Drama, Fantasy",1h 46m,8.4,https://www.imdb.com/title/tt5311514/,106.0,2010
Das Boot,79,1981,"Drama, War",2h 29m,8.4,https://www.imdb.com/title/tt0082096/,149.0,1980
Oldeuboi,80,2003,"Action, Drama, Mystery",2h,8.3,https://www.imdb.com/title/tt0364569/,120.0,2000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,81,1964,"Comedy, War",1h 35m,8.3,https://www.imdb.com/title/tt0057012/,95.0,1960
Braveheart,82,1995,"Biography, Drama, War",2h 58m,8.3,https://www.imdb.com/title/tt0112573/,178.0,1990
Mononoke-hime,83,1997,"Animation, Adventure, Fantasy",2h 13m,8.3,https://www.imdb.com/title/tt0119698/,133.0,1990
American Beauty,84,1999,Drama,2h 2m,8.3,https://www.imdb.com/title/tt0169547/,122.0,1990
3 Idiots,85,2009,"Comedy, Drama",2h 50m,8.4,https://www.imdb.com/title/tt1187043/,170.0,2000
Capharnaüm,86,2018,Drama,2h 6m,8.4,https://www.imdb.com/title/tt8267604/,126.0,2010
Joker,87,2019,"Crime, Drama, Thriller",2h 2m,8.3,https://www.imdb.com/title/tt7286456/,122.0,2010
C&apos;era una volta in America,88,1984,"Crime, Drama",3h 49m,8.3,https://www.imdb.com/title/tt0087843/,229.0,1980
Singin&apos; in the Rain,89,1952,"Comedy, Musical, Romance",1h 43m,8.3,https://www.imdb.com/title/tt0045152/,103.0,1950
Idi i smotri,90,1985,"Drama, Thriller, War",2h 22m,8.3,https://www.imdb.com/title/tt0091251/,142.0,1980
Requiem for a Dream,91,2000,Drama,1h 42m,8.3,https://www.imdb.com/title/tt0180093/,102.0,2000
Star Wars: Episode VI - Return of the Jedi,92,1983,"Action, Adventure, Fantasy",2h 11m,8.3,https://www.imdb.com/title/tt0086190/,131.0,1980
Toy Story 3,93,2010,"Animation, Adventure, Comedy",1h 43m,8.3,https://www.imdb.com/title/tt0435761/,103.0,2010
Jagten,94,2012,Drama,1h 55m,8.3,https://www.imdb.com/title/tt2106476/,115.0,2010
Ikiru,95,1952,Drama,2h 23m,8.3,https://www.imdb.com/title/tt0044741/,143.0,1950
Eternal Sunshine of the Spotless Mind,96,2004,"Drama, Romance, Sci-Fi",1h 48m,8.3,https://www.imdb.com/title/tt0338013/,108.0,2000
Incendies,97,2010,"Drama, Mystery, War",2h 11m,8.3,https://www.imdb.com/title/tt1255953/,131.0,2010
The Apartment,98,1960,"Comedy, Drama, Romance",2h 5m,8.3,https://www.imdb.com/title/tt0053604/,125.0,1960
Lawrence of Arabia,99,1962,"Adventure, Biography, Drama",3h 47m,8.3,https://www.imdb.com/title/tt0056172/,227.0,1960
2001: A Space Odyssey,100,1968,"Adventure, Sci-Fi",2h 29m,8.3,https://www.imdb.com/title/tt0062622/,149.0,1960
Reservoir Dogs,101,1992,"Crime, Thriller",1h 39m,8.3,https://www.imdb.com/title/tt0105236/,99.0,1990
Scarface,102,1983,"Crime, Drama",2h 50m,8.3,https://www.imdb.com/title/tt0086250/,170.0,1980
Heat,103,1995,"Action, Crime, Drama",2h 50m,8.3,https://www.imdb.com/title/tt0113277/,170.0,1990
